firstname	commonname	surname	skintypecode	haircolorcode	facialhairtypecode	managerid	hairtypecode	headtypecode	height	seasonaloutfitid	weight	hashighqualityhead	gender	headassetid	ethnicity	faceposerpreset	teamid	eyebrowcode	eyecolorcode	personalityid	headclasscode	nationality	sideburnscode	headvariation	skintonecode	outfitid	hairstylecode	bodytypecode	facialhaircolorcode
			0	1	0	104903	16	1	180	5557	71	0	0	26541	2	3	100409	0	6	0	0	21	0	0	1	5505	0	83	0
			0	1	0	262475	16	1	187	5511	75	0	0	26541	2	3	100632	0	6	0	0	34	0	0	1	5566	0	86	0
			0	1	0	249425	16	1	187	5509	75	0	0	26539	2	0	100634	0	1	0	0	21	0	0	2	5534	0	86	0
			0	1	0	249554	16	1	181	5535	75	0	0	26545	2	2	100646	0	9	0	0	34	0	0	8	5503	0	83	0
Dario		Bonetti	51	9	0	249194	69	2516	187	5529	75	0	0	249194	2	0	100757	2	1	1	0	27	0	0	2	5523	0	86	2
Mihai		Ianovschi	2	5	0	262526	18	3516	180	5511	75	0	0	262526	2	0	100759	0	4	0	0	39	0	0	2	5510	0	83	0
Dinu		Todoran	2	1	4	270147	114	3513	180	5511	75	0	0	262649	3	0	100761	0	9	0	0	39	0	0	3	5510	0	83	0
Marko		Nikolić	2	6	0	256773	0	2030	185	5505	75	0	0	256773	2	0	100765	0	5	0	0	51	0	0	2	5505	0	86	1
Rui Carlos	Rui Vitória	Pinho da Vitória	51	1	6	250442	162	3516	179	5556	75	0	0	250442	4	0	100767	1	9	0	0	38	0	0	4	5566	0	83	0
Callum		Davidson	2	1	4	257114	154	2007	177	5511	75	0	0	257114	2	0	100804	0	4	0	0	42	0	0	2	5506	0	83	0
			0	9	0	270124	95	1	177	5527	75	0	0	26540	2	0	100805	1	3	1	0	54	0	0	2	5585	0	83	0
Juan Antonio	Anquela	Albacete Anquela	51	2	8	249791	139	2517	170	5509	75	0	0	249791	2	0	100831	0	9	1	0	45	0	0	2	5508	0	89	1
Luis Miguel	Luis Carrión	Carrión Delgado	51	1	4	145151	65	1501	176	5529	75	0	0	145151	4	0	100851	0	2	0	0	45	0	0	4	5505	0	82	0
Asier	Asier Garitano	Garitano	2	1	0	249029	188	4013	169	5509	75	0	0	249029	2	0	100888	0	4	0	0	45	0	0	2	5566	0	89	0
Mustafa		Denizli	51	9	0	250136	297	3504	175	5536	75	0	0	250136	1	0	101006	1	3	0	0	48	0	0	1	5504	0	83	1
Aykut		Kocaman	51	9	4	249037	160	1501	175	5558	75	0	0	249037	3	0	101014	1	4	0	0	48	0	0	3	5502	0	83	0
Samet		Aybaba	51	9	6	250456	114	1515	179	5509	75	0	0	250456	1	0	101016	1	3	0	0	48	0	0	1	5505	0	83	0
Yalçın		Koşukavak	51	9	4	262038	154	2512	179	5511	75	0	0	262038	3	0	101020	1	9	0	0	48	0	0	3	5565	0	83	0
Ünal		Karaman	51	9	0	250624	102	3516	180	5529	75	0	0	250624	3	0	101026	1	3	0	0	48	0	0	3	5500	0	83	0
Ömer		Erdoğan	2	1	8	258336	93	2512	191	5509	75	0	0	258336	3	0	101028	0	9	0	0	21	0	0	3	5566	0	86	0
İlhan		Palut	51	1	8	254545	176	1531	175	5527	75	0	0	254545	4	0	101033	0	9	1	0	48	0	0	4	5510	0	83	0
Bülent		Uygun	51	1	4	249080	155	2029	175	5509	75	0	0	249080	4	0	101037	0	3	0	0	48	0	0	4	5517	0	83	0
Rıza		Çalımbay	51	9	0	250390	297	3507	172	5509	75	0	0	250390	3	0	101041	1	9	0	0	48	0	0	3	5510	0	89	0
Mircea		Lucescu	51	9	0	250121	22	519	177	5555	75	0	0	250121	5	0	101047	1	3	1	0	39	0	0	5	5566	0	83	0
			51	1	12	157767	122	1	175	5533	66	0	0	26543	3	0	101059	1	7	1	0	27	0	0	2	5508	0	81	0
Ricardo		Zielinski	51	6	6	250378	59	48	180	5511	75	0	0	250378	4	0	101083	0	3	0	0	52	0	0	4	5508	0	83	3
Leandro		Martini	2	1	0	249893	170	2501	181	5520	75	0	0	249893	4	0	101084	2	3	0	0	52	0	0	4	5566	0	83	0
Iramy	Ira	Rocha	2	3	8	260580	234	3512	178	5509	75	0	0	260579	3	0	101085	0	3	0	0	52	0	0	3	5503	0	83	2
Mauricio		Pellegrino	2	9	6	10974	170	25	193	5520	84	1	0	10974	2	0	101088	0	3	0	0	52	0	0	2	5522	0	86	0
			0	1	0	241151	16	1	176	5523	80	0	0	26537	2	0	101099	0	1	1	0	56	0	0	1	5523	0	83	0
			0	1	0	250844	16	1	176	5509	75	0	0	26541	2	3	101100	0	6	0	0	56	0	0	1	5506	0	83	0
			0	1	0	249936	16	1	181	5506	75	0	0	26545	2	2	101101	0	9	0	0	56	0	0	8	5508	0	83	0
			0	1	0	248958	16	1	170	5511	75	0	0	26538	2	0	101102	0	2	0	0	60	0	0	1	5505	0	89	0
			51	9	0	249815	118	3508	175	5556	75	0	0	26542	3	0	101103	0	3	1	0	60	0	0	2	5523	0	83	0
			0	1	0	249537	16	1	175	5507	75	0	0	26540	2	3	101104	0	1	0	0	56	0	0	2	5507	0	83	0
			0	1	0	258011	16	1	183	5510	75	0	0	26538	2	0	101108	0	2	1	0	60	0	0	1	5523	0	83	0
			0	1	0	250059	16	1	170	5510	75	0	0	26543	2	0	101110	0	7	0	0	60	0	0	2	5566	0	89	0
			0	1	0	249975	16	1	183	5505	75	0	0	26540	2	3	101112	0	1	0	0	70	0	0	2	5505	0	83	0
Diego		Cocca	2	6	4	249251	160	1505	174	5504	75	0	0	249251	4	0	101114	0	9	1	0	52	0	0	4	5505	0	89	3
Guillermo		Vázquez	51	1	0	249509	290	1526	174	5511	75	0	0	249509	4	0	101121	0	9	0	0	83	0	0	4	5505	0	89	0
			0	1	0	250155	16	1	180	5511	75	0	0	26537	2	0	101145	0	1	1	0	54	0	0	1	5567	0	83	0
			0	1	0	260081	16	1	175	5506	75	0	0	26546	2	0	101146	0	9	0	0	163	0	0	3	5566	0	83	0
			0	1	0	263405	16	1	175	5511	75	0	0	26546	2	0	101147	0	9	0	0	163	0	0	3	5505	0	83	0
			0	1	0	249914	16	1	175	5511	75	0	0	26537	2	0	101148	0	1	0	0	54	0	0	1	5506	0	83	0
			0	1	0	250104	16	1	176	5509	75	0	0	26544	2	0	101149	0	9	0	0	45	0	0	3	5526	0	83	0
			0	1	0	249850	16	1	177	5539	75	0	0	26546	2	0	101150	0	9	0	0	163	0	0	3	5518	0	83	0
			2	1	6	1279	0	2001	180	5547	73	0	0	26538	2	0	101151	1	2	1	0	195	0	0	1	5517	0	82	0
			0	1	0	220470	16	1	185	5540	75	0	0	26537	2	0	105035	0	1	0	0	34	0	0	1	5516	0	86	0
Miguel Ángel	Míchel	Sánchez Muñoz	2	1	6	146777	160	3509	174	5557	66	1	0	146777	3	0	110062	0	4	0	0	45	0	0	4	5567	0	87	0
José Luís	José Luis Oltra	Oltra Castañer	51	1	0	249769	114	1512	175	5515	75	0	0	249769	4	0	110065	1	9	0	0	45	0	0	4	5515	0	83	0
Manuel María	Lolo Escobar	Escobar Rodríguez	2	1	4	262758	13	2016	170	5535	75	0	0	262758	2	0	110069	0	2	0	0	45	0	0	2	5504	0	89	0
Gheorghe		Hagi	51	9	0	262188	154	1500	172	5510	75	0	0	262188	3	0	110075	1	3	1	0	39	0	0	3	5508	0	89	0
Ian		Baraclough	51	6	0	19334	77	1526	185	5560	80	0	0	19334	2	0	110081	0	1	0	0	14	0	0	2	5514	0	85	3
Julio César		Falcioni	51	3	0	249819	104	1509	180	5557	75	0	0	249819	2	0	110093	0	1	0	0	52	0	0	2	5553	0	83	2
Guillermo		Almada	2	5	0	249505	59	1526	185	5511	75	0	0	249505	4	0	110144	1	5	1	0	60	0	0	4	5514	0	86	2
Francisco	Kiko Ramírez	Ramírez González	51	1	4	249407	290	33	180	5557	75	0	0	249407	4	0	110147	0	3	0	0	45	0	0	4	5554	0	83	0
Héctor		Altamirano	2	9	0	259414	21	530	173	5506	75	0	0	259414	4	0	110150	1	9	1	0	83	0	0	4	5505	0	89	0
Nicolás		Larcamón	2	1	8	250171	165	1539	175	5511	75	0	0	250171	4	0	110152	1	9	1	0	52	0	0	4	5506	0	83	0
			0	1	0	261132	16	1	186	5521	75	0	0	26538	2	0	110178	0	2	0	0	21	0	0	1	5569	0	86	0
Torsten		Ziegner	2	3	3	100254	75	2001	175	5511	77	0	0	100254	2	0	110197	0	4	0	0	21	0	0	2	5526	0	82	3
			0	1	0	249698	16	1	178	5511	75	0	0	26544	2	0	110313	0	9	1	0	14	0	0	3	5520	0	83	0
			0	1	0	249248	16	1	172	5558	75	0	0	26540	2	3	110321	0	1	0	0	18	0	0	2	5523	0	89	0
			0	1	0	257258	16	1	180	5511	75	0	0	26540	2	3	110329	0	1	0	0	21	0	0	2	5506	0	83	0
Fabrizio		Castori	51	9	0	249361	92	3500	165	5511	75	0	0	249361	1	0	110373	1	9	1	0	27	0	0	1	5526	0	89	0
Vincenzo		Italiano	2	1	4	251172	0	1501	175	5506	75	0	0	251172	3	0	110374	1	3	1	0	27	0	0	3	5522	0	83	0
Sergio		Rondina	51	9	6	250489	156	525	169	5513	75	0	0	250489	4	0	110394	0	3	0	0	52	0	0	4	5523	0	89	0
Luis		Zubeldía	2	6	4	249944	189	2020	179	5558	75	0	0	249944	2	0	110395	6	4	1	0	52	0	0	2	5567	0	83	3
Fernando		Gamboa	2	1	6	262676	220	39	181	5557	75	0	0	262676	2	0	110396	0	3	0	0	52	0	0	2	5507	0	83	0
Javier		Sanguinetti	2	1	0	257047	149	44	174	5513	75	0	0	257047	4	0	110404	1	4	0	0	52	0	0	4	5523	0	89	0
Eduardo		Domínguez	2	1	8	142700	70	1519	185	5507	82	0	0	142700	4	0	110406	0	4	0	0	52	0	0	4	5508	0	85	0
			0	1	0	250199	16	1	172	5558	75	0	0	26539	2	0	110456	0	1	0	0	18	0	0	2	5566	0	89	0
Michal		Bílek	51	9	8	262476	0	1517	177	5557	75	0	0	262476	1	0	110468	1	1	0	0	12	0	0	1	5534	0	83	1
Florian		Schnorrenberg	2	1	0	249389	35	4003	180	5511	75	0	0	249389	1	0	110482	2	9	0	0	21	0	0	1	5510	0	83	0
Michael		Schiele	2	6	8	250088	289	3516	172	5511	75	0	0	250088	3	0	110500	2	4	0	0	21	0	0	3	5569	0	89	3
Guerino		Capretti	2	6	6	257369	182	33	180	5509	75	0	0	257369	2	0	110501	0	4	0	0	21	0	0	2	5566	0	83	0
			0	1	0	169229	16	1	174	5511	68	0	0	26538	2	0	110502	0	2	1	0	21	0	0	1	5553	0	89	0
Patrick		Glöckner	2	6	6	253443	114	2031	185	5511	75	0	0	253443	3	0	110532	0	1	0	0	21	0	0	3	5522	0	86	3
Davide		Ballardini	51	9	6	249218	0	1518	180	5558	75	0	0	249218	2	0	110556	0	9	0	0	27	0	0	2	5523	0	83	0
Ivan		Vukomanović	2	6	4	262734	208	2517	188	5533	75	0	0	262734	4	0	110565	0	9	0	0	51	0	0	4	5523	0	86	3
			0	1	0	249214	16	1	181	5558	75	0	0	26541	2	3	110569	0	6	0	0	18	0	0	1	5506	0	83	0
Cristian	Kily González	González	2	1	8	257049	161	2516	176	5511	75	0	0	257049	3	0	110580	0	3	0	0	52	0	0	3	5567	0	83	0
Iván		Delfino	51	9	0	249611	26	2522	180	5520	75	0	0	249611	2	0	110581	1	3	0	0	52	0	0	2	5566	0	83	0
Christian		Titz	51	3	6	249128	57	3500	184	5509	75	0	0	249128	2	0	110588	2	6	0	0	21	0	0	2	5520	0	83	3
Joe		Enochs	51	9	8	105015	290	1506	183	5556	75	0	0	105015	3	0	110592	2	10	0	0	95	0	0	3	5566	0	82	1
Rico		Schmitt	1	6	6	250385	149	2029	184	5511	75	0	0	250385	2	0	110597	0	6	0	0	21	0	0	2	5506	0	83	3
			0	1	0	270149	16	1	184	5552	75	0	0	26543	2	0	110636	0	7	1	0	21	0	0	2	5566	0	83	0
Olaf		Janßen	51	9	0	250193	292	2027	177	5536	75	0	0	250193	2	0	110645	1	2	0	0	21	0	0	2	5533	0	83	0
Enrico		Maaßen	2	6	3	262686	186	2006	178	5557	75	0	0	262686	2	0	110676	0	4	0	0	21	0	0	2	5510	0	83	2
Rüdiger		Ziehl	2	9	0	262855	117	31	184	5527	75	0	0	262855	2	0	110678	2	6	0	0	21	0	0	2	5569	0	83	2
Thomas		Stamm	2	5	3	262753	170	1510	180	5557	75	0	0	262753	2	0	110691	0	1	0	0	47	0	0	2	5522	0	83	3
Xabier	Xabi Alonso	Alonso Olano	2	6	8	262757	633	4006	183	5511	75	0	0	45197	1	4	110711	0	3	0	0	45	0	0	1	5567	0	83	4
Wouter		Vrancken	2	12	0	251205	86	1531	185	5509	75	0	0	251205	1	0	110724	0	1	1	0	7	0	0	1	5523	0	86	4
			0	1	0	250495	16	1	170	5530	75	0	0	26544	2	0	110734	0	9	1	0	27	0	0	3	5501	0	89	0
Ireneusz		Mamrot	51	5	0	249604	284	2504	175	5511	75	0	0	249604	2	0	110745	6	9	0	0	37	0	0	2	5510	0	83	0
Kosta		Runjaić	51	3	0	249867	177	30	177	5511	75	0	0	249867	2	0	110746	6	1	0	0	21	0	0	2	5507	0	83	0
Michał		Probierz	51	9	8	148408	26	2510	176	5511	69	0	0	148408	2	0	110747	6	9	1	0	37	0	0	2	5523	0	83	1
Dariusz		Żuraw	2	5	0	51001	40	2015	183	5564	79	0	0	51001	2	0	110749	6	2	0	0	37	0	0	2	5534	0	82	1
László		Balint	2	3	6	256657	154	30	179	5509	75	0	0	256657	2	0	110750	2	9	1	0	39	0	0	2	5508	0	83	0
Marius		Croitoru	2	1	8	251206	16	1503	175	5506	75	0	0	251206	2	0	110752	0	1	1	0	39	0	0	2	5566	0	83	0
Anderson		Batatais	2	1	0	270044	101	561	171	5520	75	0	0	26540	4	0	110765	0	9	0	0	54	0	0	4	5700	0	89	0
Marco		Walker	51	9	6	261594	195	11	189	5510	75	0	0	261594	2	0	110770	0	8	0	0	47	0	0	2	5520	0	86	0
Erol		Bulut	51	1	12	249337	186	2016	184	5509	75	0	0	249337	3	0	110776	2	3	0	0	48	0	0	3	5552	0	83	0
Ariel		Holan	51	9	0	249021	40	2516	180	5510	75	0	0	249021	3	0	110781	0	9	0	0	52	0	0	3	5505	0	83	0
			0	1	0	262312	16	1	186	5509	75	0	0	26538	2	0	110799	0	2	0	0	14	0	0	1	5510	0	86	0
José Ángel	Cuco Ziganda	Ziganda	51	6	6	241715	195	20	185	5547	78	1	0	241715	4	3	110827	6	5	0	0	45	0	0	4	5517	0	86	0
Rubén	Rubén Albés	Albés Yáñez	2	3	4	256925	174	4005	188	5531	75	0	0	256925	3	0	110831	0	3	0	0	45	0	0	3	5508	0	86	2
Robert	Robert Moreno	Moreno González	0	1	6	251150	160	2521	180	5500	75	0	0	251150	4	0	110832	1	6	0	0	45	0	0	4	5500	0	83	0
Ignacio		Ambriz	51	9	0	249592	183	1514	177	5525	75	0	0	249592	5	0	110839	0	9	0	0	83	0	0	5	5525	0	83	0
			0	1	0	254737	16	1	177	5511	75	0	0	26542	2	0	110890	0	3	0	0	14	0	0	2	5506	0	83	0
Stuart		Baxter	51	4	8	250545	181	2002	175	5509	75	0	0	250545	2	0	110929	0	1	0	0	42	0	0	2	5514	0	83	1
Joe		Zinnbauer	51	3	4	249692	24	2012	181	5535	75	0	0	249692	2	0	110930	0	9	0	0	21	0	0	2	5505	0	83	0
			51	3	0	263981	145	559	186	5520	75	0	0	26546	4	0	110955	1	9	0	0	155	0	0	3	5566	0	86	2
			0	3	0	144279	0	3504	184	5555	78	0	0	26538	2	0	110968	0	2	0	0	54	0	0	1	5510	0	82	0
			0	1	0	251783	16	1	174	5529	75	0	0	26543	2	0	110969	0	7	0	0	58	0	0	2	5500	0	89	0
			51	1	0	249342	104	1539	175	5511	75	0	0	26543	4	0	110970	0	7	0	0	53	0	0	2	5506	0	83	0
			0	1	0	135704	16	1	182	5506	73	0	0	26541	2	3	110974	0	6	1	0	52	0	0	1	5522	0	83	0
			0	1	0	5658	16	1	188	5530	83	0	0	26540	2	3	110975	0	1	1	0	60	0	0	2	5505	0	86	0
			51	1	0	265470	112	3515	178	5511	75	0	0	26540	4	3	110977	1	1	1	0	55	0	0	2	5510	0	83	0
			0	1	0	256112	16	1	176	5511	75	0	0	26542	2	0	110978	0	3	0	0	55	0	0	2	5520	0	83	0
			51	1	0	249516	289	42	181	5529	75	0	0	26543	4	0	110980	1	7	1	0	53	0	0	2	5524	0	83	0
			0	1	0	254301	16	1	175	5554	75	0	0	26540	2	3	110981	0	1	1	0	52	0	0	2	5523	0	83	0
			0	1	0	249607	16	1	186	5509	75	0	0	26543	2	0	110984	0	7	1	0	45	0	0	2	5534	0	86	0
			0	1	0	250235	16	1	183	5511	75	0	0	26544	2	0	110986	0	9	1	0	52	0	0	3	5507	0	83	0
			0	1	0	249542	16	1	176	5511	75	0	0	26540	2	3	110987	0	1	0	0	52	0	0	2	5522	0	83	0
			51	1	0	255128	284	15	180	5510	75	0	0	26543	4	0	110989	1	7	0	0	61	0	0	2	5510	0	83	0
			0	1	0	254097	16	1	175	5525	75	0	0	26543	2	0	110990	0	7	0	0	61	0	0	2	5508	0	83	0
			0	1	0	264014	16	1	175	5539	75	0	0	26539	2	0	110992	0	1	0	0	61	0	0	2	5552	0	83	0
			51	2	14	249752	80	30	185	5558	75	0	0	26540	5	3	111001	1	1	1	0	60	0	0	2	5569	0	86	3
			0	1	0	262864	16	1	193	5506	75	0	0	26540	2	3	111002	0	1	1	0	60	0	0	2	5522	0	86	0
			0	1	0	260039	16	1	183	5528	75	0	0	26539	2	0	111007	0	1	1	0	58	0	0	2	5523	0	83	0
			0	1	0	249180	16	1	174	5511	75	0	0	26541	2	3	111008	0	6	0	0	52	0	0	1	5508	0	89	0
			51	1	0	249091	114	1	180	5547	75	0	0	26540	4	3	111010	0	1	0	0	52	0	0	2	5575	0	83	0
			51	1	4	249462	154	4004	180	5509	75	0	0	26540	4	3	111011	0	1	1	0	52	0	0	2	5503	0	83	0
			0	1	0	253759	16	1	173	5529	75	0	0	26545	2	2	111013	0	9	0	0	56	0	0	8	5512	0	89	0
			0	1	0	253994	16	1	185	5511	75	0	0	26543	2	0	111014	0	7	1	0	52	0	0	2	5518	0	86	0
			51	9	0	267971	72	2517	178	5511	75	0	0	26537	4	0	111016	1	1	0	0	52	0	0	1	5520	0	83	0
Gabriel		Milito	2	3	6	138654	21	16	179	5527	78	0	0	138654	2	0	111019	2	5	1	0	52	0	0	2	5522	0	82	2
Celso		Roth	0	1	0	271339	16	1	180	5563	75	1	0	214332	2	2	111041	0	1	1	0	54	0	0	5	900019	0	86	0
Juan	Vojvoda	Vojvoda	0	1	0	270011	16	1	180	5563	75	1	0	1075	2	2	111052	0	1	1	0	52	0	1	3	900013	0	86	0
Gustavo		Morinigo	0	1	0	271348	16	1	180	5563	75	1	0	4231	1	2	111059	0	1	1	0	54	0	1	4	900020	1	86	0
			0	1	0	252714	16	1	168	5510	75	0	0	26544	2	0	111065	0	9	0	0	95	0	0	3	5523	0	89	0
Waldemar		Fornalik	51	1	0	250674	118	2500	173	5510	75	0	0	250674	2	0	111086	2	9	0	0	37	0	0	2	5569	0	89	0
Mihai		Iosif	51	9	6	262410	72	2029	175	5510	75	0	0	262410	2	0	111088	0	9	1	0	39	0	0	2	5522	0	83	0
Piotr		Stokowiec	51	12	8	148528	114	2030	184	5530	75	0	0	148528	2	0	111091	6	2	1	0	37	0	0	2	5504	0	83	4
Jacek		Magiera	51	9	0	105852	195	2006	185	5529	77	0	0	105852	2	0	111092	0	8	0	0	37	0	0	2	5505	0	86	0
Francesco		Farioli	2	1	4	263710	176	1519	174	5520	75	0	0	263710	3	0	111117	0	3	1	0	27	0	0	3	5566	0	89	0
Ollie		Horgan	51	9	0	250203	34	3500	178	5511	75	0	0	250203	2	0	111131	2	8	1	0	25	0	0	2	5510	0	83	3
			0	1	0	248905	16	1	168	5513	75	0	0	26542	2	0	111138	0	3	1	0	14	0	0	2	5523	0	89	0
			0	1	0	261363	16	1	185	5527	75	0	0	26545	2	2	111139	0	9	0	0	18	0	0	8	5510	0	86	0
			0	1	0	249484	16	1	183	5529	75	0	0	26538	2	0	111140	0	2	1	0	61	0	0	1	5505	0	83	0
			0	1	0	249070	16	1	180	5544	75	0	0	26539	2	0	111144	0	1	0	0	95	0	0	2	5584	0	83	0
			0	1	0	249423	16	1	190	5511	75	0	0	26540	2	3	111235	0	1	0	0	21	0	0	2	5521	0	86	0
			0	1	0	262990	16	1	176	5511	75	0	0	26540	2	3	111239	0	1	1	0	21	0	0	2	5566	0	83	0
			0	1	0	250423	16	1	174	5506	75	0	0	26541	2	3	111276	0	6	0	0	18	0	0	1	5533	0	89	0
			0	1	0	261557	16	1	176	5509	75	0	0	26544	2	0	111325	0	9	0	0	60	0	0	3	5506	0	83	0
			51	1	4	265625	54	36	193	5544	75	0	0	26540	4	3	111326	0	1	0	0	60	0	0	2	5507	0	86	0
			0	1	0	261252	16	1	175	5511	75	0	0	26538	2	0	111327	0	2	0	0	52	0	0	1	5520	0	83	0
			0	1	0	249767	16	1	181	5511	75	0	0	26540	2	3	111328	0	1	0	0	55	0	0	2	5510	0	83	0
			51	1	8	260069	28	1536	173	5555	75	0	0	26544	5	0	111332	1	9	1	0	61	0	0	3	5552	0	89	0
			0	1	0	260198	16	1	185	5509	75	0	0	26540	2	3	111334	0	1	0	0	52	0	0	2	5501	0	86	0
Şenol		Can	2	1	8	261686	177	1533	183	5538	75	0	0	261686	4	0	111339	0	9	1	0	9	0	0	4	5566	0	83	0
Cláudio		Tencati	51	9	0	270152	21	2029	182	5515	75	1	0	26544	2	0	111393	6	9	0	1	54	0	0	2	5526	0	83	3
Carlos		Pimentel	51	5	0	270173	117	3500	183	5521	75	1	0	27094	2	0	111395	6	1	0	1	54	0	0	2	5552	0	83	3
Márcio Fernandes	Márcio Fernandes	Figueiredo	51	9	6	270049	141	1515	175	5555	75	0	0	26545	2	0	111396	0	6	0	0	54	0	0	2	5501	0	83	3
Eduardo		Baptista	51	6	4	270002	186	1508	193	5511	83	1	0	31432	2	0	111397	2	4	0	0	54	0	1	4	5563	0	85	2
Jerson		Testoni	51	1	4	270041	209	2522	174	5510	75	0	0	26537	2	0	111398	0	3	0	0	54	0	0	2	5585	0	89	0
Luizinho		Lopes	51	1	0	270043	37	1534	180	5510	75	0	0	26539	3	0	111399	1	3	0	0	54	0	0	3	5590	0	83	2
Marcelo		Chamusca	51	9	0	271349	148	2014	174	5541	72	1	0	250	3	0	111400	0	3	0	0	54	0	2	4	5569	0	88	0
			0	1	0	249699	16	1	165	5503	75	0	0	26543	2	0	111455	0	7	0	0	14	0	0	2	5523	0	89	0
			51	9	6	253005	43	2000	191	5510	75	0	0	26538	2	0	111473	0	2	0	0	198	0	0	1	5522	0	86	3
Álvaro Adriano	Álvaro Pacheco	Teixeira Pacheco	2	9	8	262409	0	1502	180	5511	75	0	0	262409	3	0	111539	0	6	1	0	38	0	0	3	5520	0	83	0
			0	1	0	260434	16	1	180	5509	75	0	0	26541	2	3	111575	0	6	0	0	45	0	0	1	5505	0	83	0
			0	1	0	63054	16	1	180	5500	75	0	0	26537	2	0	111592	0	1	1	0	14	0	0	1	5500	0	86	0
			0	1	0	63055	16	1	180	5500	75	0	0	26537	2	0	111596	0	1	1	0	14	0	0	1	5500	0	86	0
Robbie		Fowler	51	1	0	195	85	2000	175	5557	73	0	0	195	2	0	111629	2	6	0	0	14	0	0	2	5567	0	82	2
			0	1	0	264045	16	1	185	5511	75	0	0	26544	2	0	111651	0	9	0	0	45	0	0	3	5510	0	86	0
			0	1	0	5534	16	1	180	5509	72	0	0	26544	2	0	111659	0	9	1	0	18	0	0	3	5566	0	83	0
Alex	Alex	Santos	51	9	0	271347	292	528	180	5536	75	1	0	214098	5	2	111674	0	9	0	0	54	0	2	3	900015	0	83	0
Robert Dante		Siboldi	51	9	0	250400	181	1528	193	5504	75	0	0	250400	4	0	111678	0	9	0	0	60	0	0	4	5514	0	86	0
			0	9	0	270083	95	37	177	5527	75	0	0	26540	2	0	111701	1	3	1	0	54	0	0	2	5585	0	83	0
Sebastián		Méndez	2	1	11	250472	0	2017	177	5554	75	0	0	250472	1	0	111706	0	5	0	0	52	0	0	1	5522	0	83	0
Fernando		Gago	2	3	6	260579	115	3512	178	5509	75	0	0	260579	3	0	111707	0	3	0	0	52	0	0	3	5503	0	83	2
Omar		De Felippe	51	9	0	250206	149	2516	181	5510	75	0	0	250206	3	0	111708	0	3	0	0	52	0	0	3	5566	0	83	0
Sebastián		Beccacece	2	5	0	250470	80	2020	182	5510	75	0	0	250470	3	0	111710	6	4	1	0	52	0	0	3	5507	0	83	0
Frank		Kudelka	51	6	0	249422	75	2020	176	5527	75	0	0	249422	3	0	111711	6	4	0	0	52	0	0	3	5522	0	83	3
Juan Manuel		Azconzábal	2	1	8	143063	150	2505	186	5533	80	0	0	143063	4	0	111716	0	3	0	0	52	0	0	4	5523	0	85	0
			0	1	0	249559	16	1	186	5524	75	0	0	26547	2	0	111722	0	3	0	0	56	0	0	8	5523	0	86	0
			0	1	0	261827	16	1	175	5551	75	0	0	26538	2	0	111723	0	2	0	0	56	0	0	1	5520	0	83	0
			0	1	0	250685	16	1	170	5520	75	0	0	26546	2	0	111724	0	9	0	0	155	0	0	3	5520	0	89	0
			0	1	0	250613	16	1	168	5511	75	0	0	26546	2	0	111730	0	9	0	0	163	0	0	3	5566	0	89	0
Adilson		Batista	51	4	4	270025	175	27	178	5590	75	1	0	27095	1	0	111766	2	1	1	1	54	0	0	1	5553	0	83	3
			0	1	0	183617	16	1	189	5529	79	0	0	26540	2	3	111768	0	1	1	0	10	0	0	2	5523	0	84	0
			2	1	0	249114	127	559	177	5551	75	0	0	26546	4	0	111769	0	9	0	0	155	0	0	3	5567	0	83	2
Raimundo	R. Wágner	Wágner	51	5	0	270038	117	3500	183	5521	75	0	0	26538	2	0	111773	6	1	0	0	54	0	0	2	5580	0	83	3
			0	9	0	270170	95	1	177	5527	75	0	0	26543	2	0	111774	1	3	1	0	54	0	0	2	5585	0	83	0
			0	1	0	260576	16	1	180	5501	75	0	0	26540	2	3	111779	0	1	0	0	45	0	0	2	5506	0	83	0
Christian		Brocchi	51	3	6	4514	92	18	171	5536	70	0	0	4514	3	0	111811	1	3	0	0	27	0	0	3	5575	0	89	0
			0	1	0	250577	16	1	186	5557	75	0	0	26537	2	0	111817	0	1	1	0	18	0	0	1	5534	0	86	0
			0	9	0	270116	95	7006	177	5527	75	0	0	26540	2	0	111821	1	3	1	0	54	0	0	2	5585	0	83	0
Robin		Dutt	2	1	0	250411	297	14	180	5528	75	0	0	250411	4	0	111822	1	3	0	0	21	0	0	4	5504	0	83	0
			0	3	0	260114	25	3501	176	5510	74	0	0	26540	4	3	111839	1	1	0	0	27	0	0	2	5567	0	82	0
			2	3	0	4784	16	1505	174	5509	72	0	0	26541	2	3	111928	0	6	1	0	52	0	0	1	5585	0	88	2
Alessio		Dionisi	2	3	8	252399	77	1502	178	5555	75	0	0	252399	2	0	111974	6	9	0	0	27	0	0	2	5569	0	83	2
Vagner	Mancini	Mancini	51	9	4	270020	290	1	178	5563	75	1	0	1040	4	2	112001	2	3	1	0	54	0	1	4	900016	0	89	0
Fabio		Caserta	2	1	8	251209	182	15	180	5520	75	0	0	251209	3	0	112026	0	9	0	0	27	0	0	3	5520	0	83	0
Anders		Torstensson	51	5	4	263992	16	3509	182	5511	75	0	0	263992	1	0	112072	6	3	0	0	46	0	0	1	5510	0	83	0
			51	1	6	249809	92	1531	180	5545	75	0	0	26541	4	3	112080	1	6	0	0	52	0	0	1	5521	0	83	0
